n,metodo,tempo_us
100000,selecao,4235810
100000,insercao,2723377
100000,merge,15450
10000,selecao,43588
10000,insercao,28179
10000,merge,2020
20000,selecao,175529
20000,insercao,114625
20000,merge,3227
30000,selecao,387282
30000,insercao,249392
30000,merge,4320
40000,selecao,744752
40000,insercao,447449
40000,merge,9240
50000,selecao,1055467
50000,insercao,687570
50000,merge,8455
60000,selecao,1532837
60000,insercao,982645
60000,merge,9752
70000,selecao,2073893
70000,insercao,1330916
70000,merge,11324
80000,selecao,2705991
80000,insercao,1748047
80000,merge,12038
90000,selecao,3455238
90000,insercao,2273787
90000,merge,13639
